user_id,block,problem,x1,y1,y2,Choice,Sex,Age,Subject,Trial
29rhCEibHFETpRFShgTi,1,20,-4,0,-12,0,female,27,1,1
29rhCEibHFETpRFShgTi,1,1,-2,0,-4,0,female,27,1,2
29rhCEibHFETpRFShgTi,1,21,-5,0,-6,1,female,27,1,3
29rhCEibHFETpRFShgTi,1,4,-2,0,-8,0,female,27,1,4
29rhCEibHFETpRFShgTi,1,10,-3,0,-5,0,female,27,1,5
29rhCEibHFETpRFShgTi,1,17,-4,0,-6,1,female,27,1,6
29rhCEibHFETpRFShgTi,1,25,-6,0,-8,0,female,27,1,7
29rhCEibHFETpRFShgTi,1,33,-10,0,-12,1,female,27,1,8
29rhCEibHFETpRFShgTi,1,32,-9,0,-11,1,female,27,1,9
29rhCEibHFETpRFShgTi,1,7,-2,0,-11,0,female,27,1,10
29rhCEibHFETpRFShgTi,1,34,-10,0,-5,1,female,27,1,11
29rhCEibHFETpRFShgTi,1,23,-5,0,-10,0,female,27,1,12
29rhCEibHFETpRFShgTi,1,5,-2,0,-9,0,female,27,1,13
29rhCEibHFETpRFShgTi,1,6,-2,0,-10,0,female,27,1,14
29rhCEibHFETpRFShgTi,1,2,-2,0,-5,0,female,27,1,15
29rhCEibHFETpRFShgTi,1,15,-3,0,-9,0,female,27,1,16
29rhCEibHFETpRFShgTi,1,29,-8,0,-12,0,female,27,1,17
29rhCEibHFETpRFShgTi,1,30,-8,0,-11,1,female,27,1,18
29rhCEibHFETpRFShgTi,1,16,-4,0,-5,1,female,27,1,19
29rhCEibHFETpRFShgTi,1,28,-8,0,-10,1,female,27,1,20
29rhCEibHFETpRFShgTi,1,12,-3,0,-8,0,female,27,1,21
29rhCEibHFETpRFShgTi,1,24,-5,0,-12,0,female,27,1,22
29rhCEibHFETpRFShgTi,1,9,-3,0,-4,1,female,27,1,23
29rhCEibHFETpRFShgTi,1,3,-2,0,-6,0,female,27,1,24
29rhCEibHFETpRFShgTi,1,13,-3,0,-10,0,female,27,1,25
29rhCEibHFETpRFShgTi,1,19,-4,0,-10,0,female,27,1,26
29rhCEibHFETpRFShgTi,1,35,-8,0,-2,1,female,27,1,27
29rhCEibHFETpRFShgTi,1,8,-2,0,-12,0,female,27,1,28
29rhCEibHFETpRFShgTi,1,11,-3,0,-6,0,female,27,1,29
29rhCEibHFETpRFShgTi,1,27,-6,0,-12,0,female,27,1,30
29rhCEibHFETpRFShgTi,1,18,-4,0,-8,0,female,27,1,31
29rhCEibHFETpRFShgTi,1,14,-3,0,-12,0,female,27,1,32
29rhCEibHFETpRFShgTi,1,31,-9,0,-12,1,female,27,1,33
29rhCEibHFETpRFShgTi,1,26,-6,0,-10,0,female,27,1,34
29rhCEibHFETpRFShgTi,1,22,-5,0,-8,1,female,27,1,35
29rhCEibHFETpRFShgTi,2,20,-4,0,-12,0,female,27,1,36
29rhCEibHFETpRFShgTi,2,1,-2,0,-4,1,female,27,1,37
29rhCEibHFETpRFShgTi,2,21,-5,0,-6,1,female,27,1,38
29rhCEibHFETpRFShgTi,2,4,-2,0,-8,0,female,27,1,39
29rhCEibHFETpRFShgTi,2,10,-3,0,-5,1,female,27,1,40
