complexity,loss,equation,score,sympy_format,lambda_format
1,0.06502028,0.33914137,0.0,0.339141370000000,PySRFunction(X=>0.339141370000000)
5,0.06489861,8.488174 / (x0 + 25.054949),0.0004682538296397325,8.488174/(x0 + 25.054949),PySRFunction(X=>8.488174/(x0 + 25.054949))
7,0.064898364,(0.98522747 / (x0 + 8.600571)) + 0.22355412,1.8952676045983234e-06,0.22355412 + 0.98522747/(x0 + 8.600571),PySRFunction(X=>0.22355412 + 0.98522747/(x0 + 8.600571))
